Name,Org,Pos,Current Level,Age,Top 100,Org Rk,Hit,Game,Raw,Spd,FV,PA,OBP,SLG,ISO,BB%,K%,wRC+,playerId
"Max Stassi","HOU","C","MLB","26",0,13,"45 / 45","45 / 45","50 / 50","30 / 30","40",51,0.274509803,0.302325581,0.162790698,0.137254901,0.294117647,54.91026030446287,"10059"
"Tyler Austin","NYY","OF","AAA","26",0,24,"35 / 40","50 / 60","65 / 65","30 / 30","40",199,0.311557788,0.543956043,0.296703296,0.075376884,0.281407035,130.55471444182982,"11850"
"Jorge Alfaro","PHI","C","MLB","24",0,8,"30 / 40","40 / 50","70 / 70","50 / 50","45",46,0.369565217,0.5,0.225,0.065217391,0.217391304,127.39266879196853,"12180"
"Breyvic Valera","LAD","SS","","26",0,21,"55 / 55","30 / 30","40 / 40","40 / 40","40",411,0.327628361,0.387978142,0.133879782,0.09489051,0.09489051,93.52015920018117,"12758"
"Socrates Brito","ARI","CF","","25",0,19,"30 / 40","30 / 40","50 / 50","60 / 60","40",495,0.381818181,0.536199095,0.221719457,0.094949494,0.22020202,138.98994833306975,"12944"
"Michael Perez","ARI","C","","25",0,23,"45 / 55","20 / 40","45 / 45","40 / 40","40",254,0.346456692,0.439130434,0.152173913,0.086614173,0.161417322,105.71047273214613,"12977"
"Bubba Starling","KCR","CF","","25",0,22,"35 / 35","40 / 40","55 / 55","60 / 60","40",79,0.41025641,0.6,0.307692308,0.151898734,0.202531645,158.86854358305482,"13356"
"Christian Walker","ARI","1B","MLB","27",0,21,"45 / 50","55 / 55","70 / 70","40 / 40","40",408,0.357843137,0.572207084,0.272479564,0.078431372,0.240196078,137.13193422783596,"13419"
"Tom Murphy","COL","1B","MLB","27",0,21,"40 / 40","45 / 45","60 / 60","30 / 30","40",303,0.320132013,0.540441176,0.294117647,0.08250825,0.283828382,118.32128983670829,"13499"
"Roman Quinn","PHI","CF","AAA","24",0,16,"50 / 55","30 / 30","45 / 45","80 / 80","40",165,0.365853658,0.414965986,0.12244898,0.096969696,0.181818181,119.45772329859727,"13546"
"Jesse Winker","CIN","OF","MLB","24",0,6,"60 / 70","30 / 40","40 / 40","30 / 30","50",56,0.410714285,0.510204081,0.163265306,0.071428571,0.107142857,141.48845204926286,"13590"
"Carson Kelly","STL","C","MLB","23",85,4,"40 / 50","30 / 40","50 / 50","20 / 20","50",384,0.361979166,0.37345679,0.120370371,0.135416666,0.130208333,97.09044628483792,"13620"
"Tomas Nido","NYM","C","MLB","23",0,3,"40 / 45","40 / 50","55 / 55","20 / 20","45",269,0.304832713,0.436507936,0.162698413,0.040892193,0.156133828,100.07112917227067,"13755"
"Eric Haase","CLE","C","MLB","25",0,8,"35 / 40","50 / 55","70 / 70","20 / 20","45",500,0.291164658,0.456953642,0.220750552,0.068,0.302,104.94899099796321,"14111"
"Daniel Vogelbach","SEA","1B","","25",0,12,"50 / 55","45 / 50","60 / 60","20 / 20","40",446,0.448430493,0.603988603,0.296296296,0.201793721,0.156950672,172.59333385215797,"14130"
"Anthony Alford","TOR","CF","AA","22",36,3,"35 / 45","40 / 50","60 / 60","70 / 70","55",474,0.314345991,0.361502347,0.117370892,0.069620253,0.270042194,90.52414948212359,"14329"
"Lewis Brinson","MIA","CF","AAA","23",13,1,"40 / 50","50 / 60","65 / 65","60 / 55","60",116,0.301724137,0.453703703,0.194444444,0.051724137,0.24137931,94.29424300333086,"14352"
"Ronald Guzman","TEX","1B","","23",0,8,"50 / 55","45 / 50","60 / 60","30 / 30","45",52,0.365384615,0.341463414,0.097560975,0.153846153,0.192307692,93.12795168007958,"14388"
"Jake Cave","MIN","CF","","25",0,19,"40 / 45","45 / 50","55 / 55","55 / 55","40",283,0.346289752,0.378600823,0.123456791,0.106007067,0.233215547,106.08217955044974,"14477"
"Renato Nunez","OAK","4C","","23",0,19,"40 / 45","45 / 50","60 / 60","40 / 40","40",262,0.375478927,0.441558441,0.138528138,0.103053435,0.209923664,130.82762016373692,"14503"
