Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Ashton Goudeau","COL","SIRP","AAA","28.8555555",,27,"50 / 50","50 / 50","55 / 55","40 / 45","55 / 55","35+",43,0.15957447,0.08510638,0.401459854,5.023255813953488,5.508622559835745,"15139"
"Justin Topa","MIL","SIRP","MLB","30.2333333",,27,"70 / 70","60 / 60","","","30 / 30","40",20.2,0.23913043,0.07608696,0.655737704,5.225805647787641,3.700645696390861,"15145"
"Jose De Leon","CIN","MIRP","","28.8166666",,16,"55 / 55","45 / 45","","60 / 60","40 / 40","40",30.1,0.33333333,0.11347518,0.408450704,7.120877628352065,4.180638182130348,"15463"
"Hunter Harvey","BAL","SIRP","MLB","26.4777777",,30,"60 / 60","","55 / 55","","40 / 40","40",12,0.13559322,0.08474576,0.545454545,6.75,5.562533586720625,"15507"
"Gerardo Reyes","LAA","SIRP","","28.05",,29,"60 / 60","55 / 55","","","30 / 30","35+",0.1,0,0.25,0.333333333,54.00053912939454,18.493159301012778,"16306"
"Victor Gonzalez","LAD","SIRP","AAA","25.5416666",,21,"60 / 60","60 / 60","","45 / 45","40 / 40","40",20.1,0.34831461,0.08988764,0.456521739,3.098361158300572,3.6861376629012033,"16408"
"Roel Ramirez","STL","SIRP","AAA","26.0138888",,32,"45 / 45","45 / 45","","","40 / 40","35+",45.1,0.25123153,0.10837438,0.512195121,5.16176509498831,4.254910917405554,"16470"
"Bryan Abreu","HOU","SIRP","MLB","24.1083333",,6,"60 / 60","70 / 70","80 / 80","","30 / 30","45",25.2,0.3,0.13636364,0.5,2.8051955000630913,4.530257828485034,"16609"
"Carlos Sanabria","KCR","SIRP","","24.3527777",,36,"60 / 60","40 / 40","45 / 45","50 / 50","35 / 40","35+",58.1,0.23320158,0.14229249,0.342281879,3.857143067340473,5.769429632971247,"16634"
"Julian Merryweather","TOR","SIRP","MLB","29.6305555",,12,"70 / 70","50 / 50","45 / 45","60 / 60","45 / 45","40+",7,0.26666667,0.13333333,0.625,3.857142857142857,4.778727394342422,"16703"
"Cam Hill","CLE","SIRP","","27.0194444",,42,"50 / 50","55 / 55","50 / 50","","40 / 40","35+",24.2,0.14754098,0.13114754,0.475609756,8.027025992544793,6.302015728631006,"16840"
