Name,Org,Pos,Current Level,Age,Top 100,Org Rk,Hit,Game,Raw,Spd,FV,PA,OBP,SLG,ISO,BB%,K%,wRC+,playerId
"Nathan Lukes","TOR","CF","MLB","29.0472222",,19,"50 / 50","40 / 40","40 / 40","50 / 50","40",271,0.413284132,0.512295081,0.159836065,0.084870848,0.10701107,136.6785939933848,"18123"
"Brett Sullivan","SDP","C","MLB","29.4361111",,16,"60 / 60","30 / 30","35 / 35","30 / 30","40",301,0.395348837,0.503875968,0.182170542,0.109634551,0.093023255,117.84986018746206,"18217"
"Donny Sands","DET","C","AAA","27.2027777",,21,"50 / 50","35 / 35","50 / 50","20 / 20","40",419,0.312649164,0.351498637,0.122615804,0.109785202,0.21718377,68.9825718612874,"18603"
"Simon Muzziotti","PHI","LF","","24.5888888",,16,"55 / 55","30 / 35","45 / 45","45 / 45","40",543,0.350553505,0.396341463,0.105691057,0.082872928,0.156537753,89.21844264817494,"19553"
"Otto Lopez","TOR","CF","MLB","24.8277777",,9,"55 / 60","20 / 30","30 / 30","60 / 60","45",373,0.322580645,0.351906158,0.08797654,0.072386058,0.152815013,71.41931235304077,"19608"
"Blake Perkins","MIL","CF","MLB","26.8861111",,24,"40 / 40","30 / 30","35 / 35","60 / 60","40",219,0.378995433,0.462765957,0.175531915,0.132420091,0.205479452,114.49128110548557,"19921"
"Eguy Rosario","SDP","3B","MLB","23.9277777",,17,"40 / 45","30 / 40","45 / 45","40 / 40","40",195,0.364102564,0.462427745,0.179190751,0.107692307,0.205128205,97.47208553062194,"19964"
"Conner Capel","OAK","RF","MLB","26.1944444",,28,"40 / 45","40 / 45","50 / 50","55 / 55","35+",444,0.356659142,0.406824146,0.154855643,0.132882882,0.207207207,90.54810277293434,"19983"
"Bryce Johnson","SFG","CF","AAA","27.7833333",,45,"45 / 45","35 / 40","45 / 45","60 / 60","35+",350,0.380403458,0.448160535,0.163879599,0.117142857,0.234285714,106.58977512837762,"20002"
"Miles Mastrobuoni","CHC","SS","MLB","27.7472222",,34,"55 / 55","30 / 30","30 / 30","50 / 50","40",191,0.455497382,0.456375838,0.154362416,0.219895287,0.22513089,142.51784091011658,"20017"
"Miguel Vargas","LAD","LF","MLB","23.7",51,4,"50 / 60","40 / 45","45 / 45","40 / 40","50",339,0.404129793,0.464285714,0.182142857,0.162241887,0.221238938,118.61374570698443,"20178"
"Corey Julks","HOU","RF","MLB","27.4222222",,18,"40 / 40","45 / 50","55 / 55","50 / 50","40",173,0.369942196,0.486111111,0.236111111,0.156069364,0.179190751,111.70842723881277,"20311"
"Royce Lewis","MIN","SS","MLB","24.15",60,2,"30 / 40","50 / 55","60 / 70","60 / 55","50",59,0.423728813,0.745098039,0.392156863,0.101694915,0.27118644,181.9512357138952,"20437"
"Nolan Jones","COL","RF","MLB","25.2277777",,6,"30 / 40","45 / 55","60 / 70","45 / 45","45",245,0.428571428,0.587064676,0.273631841,0.15510204,0.273469387,147.40438403818027,"20529"
"Ivan Herrera","STL","C","MLB","23.1611111",,6,"50 / 55","35 / 40","50 / 50","40 / 40","45+",386,0.453367875,0.496644295,0.197986577,0.202072538,0.207253886,147.62764954474756,"20599"
"Carlos Perez","CHW","C","","26.8861111",,19,"55 / 55","30 / 30","40 / 40","20 / 20","35+",321,0.29906542,0.410169491,0.166101695,0.059190031,0.130841121,73.63785416092105,"20805"
"Cesar Salazar","HOU","C","MLB","27.3722222",,23,"50 / 50","30 / 30","30 / 30","30 / 30","40",249,0.366935483,0.304123711,0.103092784,0.136546184,0.136546184,80.6233246213693,"21587"
"Miguel Amaya","CHC","C","MLB","24.3888888",,15,"30 / 35","30 / 40","50 / 50","40 / 40","40+",119,0.428571428,0.559139784,0.268817204,0.159663865,0.268907563,153.1515626342543,"21693"
"Enmanuel Valdez","BOS","2B","MLB","24.5861111",,13,"45 / 45","50 / 55","55 / 55","30 / 30","45",268,0.388059701,0.470046082,0.221198156,0.18283582,0.212686567,118.84138179713034,"21716"
"Esteury Ruiz","OAK","CF","MLB","24.4555555",,7,"35 / 35","40 / 40","50 / 50","80 / 80","45",78,0.415584415,0.575757575,0.227272727,0.102564102,0.115384615,150.0191913238838,"21780"
"Andres Chaparro","NYY","1B","MLB","24.2361111",,34,"45 / 50","45 / 50","50 / 50","30 / 30","35+",643,0.335925349,0.4625,0.210714286,0.107309486,0.214618973,96.78649259515139,"21797"
"Freddy Fermin","KCR","C","MLB","28.2027777",,13,"50 / 50","35 / 40","45 / 45","40 / 40","40+",85,0.423529411,0.628571428,0.328571428,0.152941176,0.188235294,163.67805214783178,"21840"
"Bo Naylor","CLE","C","MLB","23.4388888",48,1,"30 / 40","45 / 55","55 / 60","55 / 50","50",276,0.387681159,0.493273542,0.242152466,0.177536231,0.199275362,120.55151491787937,"21865"
"Mark Vientos","NYM","3B","MLB","23.6333333",105,6,"30 / 40","50 / 60","65 / 70","40 / 40","50",327,0.373088685,0.587412587,0.286713287,0.097859327,0.241590214,135.43008113541822,"22184"
"Brice Turang","MIL","SS","MLB","23.6888888",72,2,"45 / 50","30 / 35","45 / 45","70 / 70","50",112,0.357142857,0.480392156,0.186274509,0.089285714,0.178571428,113.25890708018629,"22186"
"Joe Perez","HOU","3B","AA","23.9638888",,36,"30 / 35","45 / 50","60 / 60","40 / 40","35+",519,0.346820809,0.435164835,0.173626374,0.109826589,0.269749518,97.09913645758296,"22254"
"Xavier Edwards","MIA","CF","MLB","23.9722222",,7,"60 / 65","20 / 20","30 / 30","70 / 70","45",452,0.426339285,0.454780361,0.103359173,0.117256637,0.075221238,128.72518334486472,"22266"
"Samad Taylor","KCR","2B","AAA","25.05",,25,"30 / 40","30 / 30","35 / 35","70 / 70","40",443,0.417607223,0.486111111,0.180555556,0.153498871,0.198645598,131.72848820467706,"22274"
"Triston Casas","BOS","1B","MLB","23.5388888",29,3,"40 / 40","55 / 70","70 / 70","30 / 20","55",63,0.38095238,0.631578947,0.298245614,0.079365079,0.253968253,157.92417344318076,"22514"
