Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Grant Holmes","ATL","MIRP","MLB","28.3388888",,19,"55 / 55","60 / 60","50 / 50","","40 / 40","40",44,0.2972973,0.08648649,0.446428571,3.6818181818181817,3.5413092609156265,"16944"
"Emmanuel Ramirez","MIA","SIRP","","30.025",,25,"50 / 50","45 / 45","","","40 / 40","35+",48,0.29207921,0.08910891,0.44262295,4.499999821186073,3.8453655066066608,"17304"
"Matt Krook","BAL","MIRP","MLB","29.7583333",,40,"40 / 40","60 / 60","","40 / 40","35 / 35","35+",47.2,0.3019802,0.16336634,0.542857142,3.776223373282546,4.3670316376330085,"19315"
"Guillo Zuniga","LAA","SIRP","AAA","25.7888888",,20,"60 / 60","55 / 60","","45 / 45","40 / 40","35+",38,0.18674699,0.05421687,0.396694214,5.4473684552303645,5.056274478829104,"19588"
"Bryan Hudson","MIL","SIRP","MLB","27.2111111",,41,"55 / 55","45 / 50","","","40 / 40","35+",21.1,0.34408602,0.07526882,0.555555555,2.9531241199004294,2.6396064897541516,"19924"
"Daysbel Hernandez","ATL","SIRP","MLB","27.8583333",,31,"60 / 60","60 / 60","","","30 / 30","35+",44.2,0.2755102,0.13265306,0.440366972,2.619402686799156,4.49590322254107,"20271"
"Luis Gil","NYY","SIRP","MLB","26.1416666",,12,"60 / 70","55 / 55","","30 / 30","35 / 35","40+",19.1,0.37179487,0.1025641,0.307692307,3.7241366604141417,3.913244054423133,"21052"
"Daniel Robert","TEX","SIRP","MLB","29.9",,31,"55 / 55","60 / 60","","","40 / 40","35+",51,0.315,0.08,0.401709401,2.4705883276916327,4.030348737175018,"21229"
"Allan Winans","ATL","SP","MLB","28.9555555",,24,"30 / 30","50 / 50","","60 / 60","40 / 50","35+",114.2,0.20833333,0.06458333,0.446745562,3.2965119203533724,4.494150702984838,"21238"
"Jacob Latz","TEX","SIRP","MLB","28.2944444",,22,"55 / 55","50 / 50","45 / 45","65 / 65","40 / 40","40",17.1,0.24050633,0.17721519,0.372093023,4.67307778011428,5.620765403251538,"21306"
"Bryce Montes de Oca","NYM","SIRP","AAA","28.2527777",,41,"70 / 70","60 / 60","","","30 / 30","35+",10,0.25454545,0.27272727,0.458333333,9.9000002360344,7.62266309711745,"21319"
"Stephen Kolek","SDP","SIRP","MLB","27.2666666",,16,"55 / 55","50 / 50","","30 / 30","40 / 40","40",6.2,0.24137931,0.13793103,0.529411764,0,5.169917629927955,"21487"
"Alex Speas","HOU","SIRP","MLB","26.3888888",,32,"60 / 60","60 / 60","","","20 / 20","35+",35.2,0.2513089,0.2565445,0.413043478,10.850469296421853,6.8131076521069485,"21859"
